id,slug,shortDescription,latitude,longitude,locationAccuracy,address,county,country,operator,name,classifications,icon,operational,permittedInstallationLicenseIssued,firstImportedAt,lastImportedAt
"2452","10088-granja-el-centelle-sl","Granja de porcina y cerdas en Segovia","41.208333","-4.011111","Coordinates","La Encina, Veganzones, 40395, Segovia, España","Segovia","Castilla y León","Granja El Centelle, S.l.","Granja El Centelle, S.l.","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2598","2447-granja-fabra","Granja de porcina en Tarragona","40.602103","0.475368","Coordinates","Pda.plans-castellets, Pol.69, Parc.171-172, 43550, Ulldecona, Tarragona, España","Tarragona","Cataluña","Plastics Reforçats Vidal,sl","Granja Fabra","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2614","7819-es442050000801-gallinas-samper-de-calanda","Granja de avícola en Teruel","41.191662","-0.38412","Coordinates","27, Parcela, Samper De Calanda, 44520, Teruel, España","Teruel","Aragón","Granja Avicola  Lagunas S.l.","Gallinas-samper De Calanda","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2654","2556-ganadera-de-ojaranzos-sl","Granja de porcina en Toledo","39.9541","-4.9176","Coordinates","Ctra. Extremadura, Km. 121. Apdo. Correos 287. Talavera De La Reina  45.600 (toledo), Talavera De La Reina, 45600, Toledo, España","Toledo","Castilla-La Mancha","Ganadera De Ojaranzos, S.l.","Ganadera De Ojaranzos S.l.","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2696","10341-explotaciones-pena-granja-la-pastora","Granja de porcina y cerdas en Toledo","39.9632","-4.2853","Coordinates","Paraje El Cerrón (polígono 2, Parcela 375), Gerindote, 45518, Toledo, España","Toledo","Castilla-La Mancha","Explotaciones De La Peña, S.l.","Explotaciones Peña (granja La Pastora)","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2749","10556-explotaciones-agropecuarias-santa-olalla-sl","Granja de porcina en Toledo","40.0499","-4.4357","Coordinates","Paraje Los Machotes, 45530, Santa Olalla, Toledo, España","Toledo","Castilla-La Mancha","Explotaciones Agropecuarias Santa Olalla, S. L.","Explotaciones Agropecuarias Santa Olalla, S.l.","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2963","5284-es502520000154-cerdos-tauste","Granja de porcina y cerdas en Zaragoza","41.938069","-1.354708","Coordinates","Las Rozas, Sancho Abarca, 50660, Tauste, Zaragoza, España","Zaragoza","Aragón","Tejavica, S.l.","Cerdos-tauste","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3046","10800-granja-calderina","Granja de porcina en Barcelona","41.640143","2.172123","Coordinates","Lloc/paratge Costa D'en Garriga, Sant Hipolit De Voltrega, 08140, Sant Hipòlit De Voltregà, Barcelona, España","Barcelona","Catalunya","Soler Ramaders, S.l.","Granja Calderina","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3114","9536-agropecuaria-entrepinos-chane","Granja de porcina y cerdas en Segovia","41.342581","-4.405972","Coordinates","Fuente Del Tío Herrero, Chañe, 40216, Segovia, España","Segovia","Castilla y León","Agropecuaria Entrepinos, S.l.u.","Agropecuaria Entrepinos - Chañe","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3200","11153-explotacion-de-5200-cerdos-de-cebo","Granja de porcina en Toledo","39.928","-4.249","Coordinates","Ctra.gerindote-albarreal Km.6,5, 45518, Gerindote, Toledo, España","Toledo","Castilla-La Mancha","Granja El Albero Sl","Explotacion De 5.200 Cerdos De Cebo","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3243","10348-broilers-montano-sl","Granja de avícola en Valencia","39.602075","-1.216976","Coordinates","San Fernando, Utiel, 46300, Valencia/valència, España","Valencia","Comunidad Valenciana","Broilers Montaño, S.l.","Broilers Montaño, S.l.","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3451","9304-cb-gonzalez-garrido","Granja de porcina y cerdas en Segovia","41.362778","-4.151903","Coordinates","Cuellar - Hontalbilla, Hontalbilla, 40353, Segovia, España","Segovia","Castilla y León","C. B. González Garrido","C.b. González Garrido","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3452","10844-cb-granja-herreros","Granja de porcina en Segovia","41.1724","-4.1064","Coordinates","2 Parcelas 25, 27 Y 28, Escalona Del Prado, 40350, Segovia, España","Segovia","Castilla y León","Cb Granja Herreros","Cb Granja Herreros","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3626","9242-jimenez-delgado-sc-santiago-de-la-puebla","Granja de porcina en Salamanca","40.810528","-5.24025","Coordinates","Cmera Del Arrozado, Santiago De La Puebla, 37311, Salamanca, España","Salamanca","Castilla y León","Jiménez Delgado, S.c.","Jiménez Delgado, S.c.- Santiago De La Puebla","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3720","7577-francisco-jimenez-sanchez-y-otros-cb-la-capellania","Granja de avícola en Sevilla","37.248657","-6.306281","Coordinates","Catastral, 14 - Parcela 56, Villamanrique De La Condesa, 41850, Sevilla, España","Sevilla","Andalucía","Francisco Jímenez Sánchez Y Otros, C.b. (la Capellanía)","Francisco Jímenez Sánchez Y Otros, C.b. (la Capellanía)","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3768","871-granja-pages","Granja de avícola en Girona","42.251884","3.085824","Coordinates","Camping Laguna, 17486, Castelló D'empúries, Girona, España","Girona","Catalunya","Av¿cola Pages, S.c.","Granja Pages","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"3931","9487-agropecuaria-pina-miquel","Granja de porcina en Lérida","41.63169","0.971536","Coordinates","Poligon 7, 25265, Castellnou De Seana, Lleida, España","Lérida","Cataluña","Agropecuaria Pina Miquel, S.c.p.","Agropecuaria Pina Miquel","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"4012","11112-agricola-gandeira-aguiar-sc","Granja de avícola en Ourense","42.092722","-7.623622","Coordinates","As Rodas - Perrelos, Perrelos, 32631, Sarreaus, Ourense, España","Ourense","","Agricola Gandeira Aguiar Sc","Agricola Gandeira Aguiar Sc","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
